Date,Symbol,r_lag1,r_lag5_mean,r_lag5_std,cs_rank,hype_score,degree_cen,mention_10d,sentiment_5d,y_sign_next,r_next,comm_Community_1,comm_Community_10,comm_Community_11,comm_Community_12,comm_Community_13,comm_Community_14,comm_Community_2,comm_Community_3,comm_Community_4,comm_Community_5,comm_Community_6,comm_Community_7,comm_Community_8,comm_Community_9
2026-01-23,BANPU,-0.008928552603003737,0.00944608749460405,0.021677651180988973,0.46,0.5168610876183813,0.3469387755102041,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-23,BBL,-0.015625018778265054,-0.01488655072823455,0.02563789663037809,0.28,0.8021884428957072,0.4897959183673469,5.0,0.0,1,0.00317460705042949,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2026-01-23,BDMS,-0.004975137571580079,0.011551935996239404,0.020923088345388526,0.56,0.6121736045413307,0.4081632653061224,1.0,0.0,1,0.010000026651470817,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-23,BEM,-0.00952384597440048,-0.0018864540356962056,0.008001094862038859,0.44,0.3153698175379232,0.0204081632653061,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-01-23,BH,0.018348657234833476,0.03048066648553256,0.02783499181692316,0.92,0.5733025950300475,0.4693877551020408,1.0,0.0,1,0.006005984546327614,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-23,BJC,-0.006993018953285635,0.005865227391053174,0.018395978676481475,0.5,0.3859487784668349,0.1020408163265306,1.0,0.0,0,-0.014084462406331766,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-01-23,BTS,-0.025641002128344415,0.009480526996534256,0.03445662278833937,0.1,0.3820598396963626,0.0816326530612244,2.0,0.0,0,-0.026315764707210976,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-01-23,CBG,-0.022727216682607354,-0.002151786929981214,0.01982260704458789,0.18,0.4037334379706352,0.1428571428571428,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-01-23,CCET,-0.028846076616413807,0.0050217090992918266,0.03915297003673338,0.06,0.2944691120222417,0.0408163265306122,0.0,0.0,0,-0.04158417841120554,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026-01-23,CENTEL,-0.014388498092669955,0.007539044746560841,0.013749627870597771,0.34,0.2958173008031775,0.0,0.0,0.0,0,-0.00729933159604268,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026-01-23,COM7,0.01500001554177155,0.008257109561221143,0.02131602154532619,0.9,0.5390811125917591,0.3469387755102041,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-23,CPALL,-0.005814006471810296,0.0013797297666235276,0.022601537281130013,0.54,0.4825031688955927,0.183673469387755,4.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-01-23,CPF,-0.01869161663399377,-0.006498792570362966,0.009674510592395262,0.2,0.7091921123853364,0.4897959183673469,0.0,0.0,0,-0.004761934996412642,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-23,CPN,0.008695585693671237,-0.0008134291472249755,0.010747561312069373,0.84,0.2998494178860543,0.0204081632653061,0.0,0.0,0,-0.004310312158098406,0,0,0,0,0,0,0,0,0,0,0,1,0,0
